"1gram","Frequency","Total Tweets"
"的","19277","7448"
"国","10827","5080"
"中","7505","4159"
"在","7212","4751"
"日","5637","3105"
"一","5382","3770"
"年","4789","2987"
"人","4592","2983"
"美","4581","2758"
"大","4048","2965"
"和","3500","2764"
"为","3386","2652"
"本","3275","1916"
"是","3144","2404"
"出","3079","2338"
"月","3073","2312"
"了","3021","2351"
"有","3009","2379"
"上","2963","2314"
"新","2793","2108"
"将","2776","2157"
"对","2724","2126"
"不","2704","2097"
"公","2639","1929"
"发","2547","2076"
"来","2532","2085"
"业","2502","1661"
"以","2491","2056"
"能","2466","1903"
"行","2415","1841"
"这","2354","1974"
"期","2202","1860"
"家","2175","1740"
"成","2169","1774"
"会","2159","1622"
"下","2107","1656"
"加","2086","1632"
"高","2033","1609"
"市","1964","1446"
"司","1942","1411"
"个","1923","1563"
"到","1922","1619"
"最","1891","1628"
"地","1889","1444"
"动","1843","1455"
"产","1793","1239"
"经","1786","1364"
"元","1766","1115"
"全","1763","1457"
"可","1756","1478"
"前","1735","1536"
"生","1719","1342"
"多","1704","1461"
"机","1688","1203"
"资","1684","1134"
"于","1669","1479"
"电","1667","990"
"时","1650","1397"
"用","1619","1234"
"长","1605","1255"
"度","1582","1199"
"现","1565","1358"
"部","1514","1235"
"工","1514","1015"
"开","1501","1239"
"增","1469","1026"
"数","1468","1150"
"政","1445","1135"
"要","1442","1192"
"过","1437","1283"
"与","1436","1236"
"后","1436","1269"
"进","1423","1189"
"台","1398","854"
"场","1395","1121"
"车","1389","684"
"制","1382","1060"
"海","1377","941"
"外","1367","1085"
"斯","1364","887"
"方","1355","1131"
"股","1355","790"
"价","1318","907"
"面","1306","1061"
"利","1305","984"
"也","1288","1175"
"表","1284","1145"
"示","1277","1176"
"但","1274","1204"
"者","1269","1043"
"等","1262","1072"
"关","1255","1067"
"体","1229","942"
"投","1220","902"
"其","1214","1073"
"星","1205","1038"
"商","1205","931"
"正","1205","1096"
"企","1204","833"
"计","1199","1006"
"民","1192","865"
"至","1190","1031"
"力","1187","992"
"分","1181","1018"
"他","1169","935"
"员","1167","900"
"比","1164","898"
"作","1156","968"
"入","1151","983"
"之","1145","1048"
"已","1141","1056"
"周","1129","965"
"金","1116","780"
"量","1109","793"
"球","1108","865"
"通","1099","932"
"近","1091","987"
"重","1082","925"
"布","1080","983"
"合","1060","892"
"说","1051","933"
"亚","1036","781"
"品","1035","726"
"同","1023","905"
"万","1020","743"
"口","1016","649"
"导","1011","789"
"平","1010","846"
"天","1005","837"
"达","1004","845"
"情","1002","883"
"提","996","876"
"持","995","834"
"总","977","824"
"特","974","715"
"交","973","796"
"济","971","699"
"自","967","807"
"次","966","857"
"马","961","703"
"法","961","761"
"首","953","830"
"并","953","907"
"主","948","841"
"指","937","723"
"应","936","806"
"三","932","816"
"务","922","754"
"内","912","813"
"因","911","827"
"而","910","844"
"该","908","788"
"今","903","825"
"名","900","763"
"受","898","808"
"果","896","708"
"亿","893","638"
"被","882","786"
"造","881","762"
"称","880","819"
"定","880","776"
"技","879","692"
"化","871","699"
"间","868","766"
"据","864","759"
"从","854","771"
"约","854","734"
"续","853","759"
"水","843","609"
"向","841","761"
"统","840","694"
"事","840","708"
"及","840","765"
"预","834","693"
"第","832","684"
"实","828","743"
"更","827","720"
"报","815","696"
"半","807","553"
"起","806","736"
"两","802","706"
"降","801","598"
"得","799","733"
"求","796","696"
"华","795","624"
"强","793","714"
"消","792","663"
"相","791","716"
"府","784","687"
"们","774","615"
"理","766","623"
"收","764","609"
"使","764","675"
"性","762","629"
"此","759","722"
"少","755","652"
"涨","755","460"
"格","750","588"
"道","744","652"
"学","741","509"
"创","738","648"
"士","738","592"
"设","731","576"
"当","730","669"
"管","727","603"
"手","723","585"
"率","720","521"
"议","716","570"
"调","715","608"
"些","715","624"
"拉","714","533"
"需","714","600"
"超","712","617"
"联","712","591"
"目","711","647"
"汽","708","409"
"售","706","553"
"东","702","538"
"系","702","597"
"减","693","534"
"供","692","580"
"影","692","581"
"推","689","609"
"如","687","626"
"去","685","627"
"点","683","558"
"就","676","609"
"科","673","564"
"易","669","525"
"低","669","565"
"安","652","547"
"所","648","591"
"克","648","512"
"二","642","562"
"心","641","567"
"都","641","563"
"客","640","441"
"还","640","604"
"展","640","567"
"放","637","543"
"引","637","599"
"小","634","520"
"区","633","537"
"界","629","559"
"西","629","517"
"南","628","485"
"游","622","342"
"费","618","460"
"意","618","557"
"明","618","569"
"风","615","486"
"物","609","484"
"巴","608","384"
"销","604","456"
"湾","602","426"
"位","601","540"
"战","598","494"
"建","596","473"
"着","593","552"
"显","590","550"
"选","589","383"
"尔","580","488"
"代","580","499"
"币","578","384"
"问","578","511"
"世","576","504"
"京","575","433"
"基","573","455"
"未","571","537"
"回","571","496"
"际","569","513"
"认","566","527"
"里","565","469"
"件","558","461"
"息","555","460"
"越","555","317"
"印","549","320"
"由","549","513"
"子","548","445"
"官","545","475"
"洲","544","415"
"头","543","501"
"文","543","429"
"欧","540","362"
"原","539","483"
"备","539","463"
"领","539","461"
"争","539","481"
"菲","535","316"
"接","535","486"
"型","534","447"
"局","534","487"
"信","531","437"
"空","528","393"
"取","527","488"
"片","523","395"
"北","523","414"
"然","522","481"
"团","522","418"
"题","522","468"
"罗","521","365"
"升","520","461"
"施","519","453"
"集","517","419"
"俄","516","303"
"支","515","434"
"反","514","464"
"响","508","474"
"无","506","450"
"变","502","433"
"宣","501","475"
"运","501","365"
"值","501","405"
"看","499","447"
"保","495","436"
"立","491","424"
"式","484","432"
"始","484","450"
"视","484","388"
"英","483","346"
"种","482","407"
"势","482","433"
"解","481","428"
"气","480","356"
"项","477","423"
"航","476","259"
"疫","476","369"
"國","476","194"
"货","475","359"
"标","473","417"
"德","472","352"
"划","472","429"
"告","469","430"
"术","467","380"
"银","466","302"
"研","463","400"
"额","463","368"
"举","462","428"
"连","459","409"
"军","458","313"
"四","457","425"
"购","457","355"
"苹","456","308"
"复","450","382"
"财","449","358"
"网","448","347"
"没","447","416"
"律","444","317"
"致","441","425"
"或","440","415"
"幅","440","372"
"份","439","392"
"令","438","395"
"列","437","365"
"处","437","379"
"流","433","381"
"五","430","404"
"票","429","317"
"好","428","381"
"款","425","336"
"境","423","353"
"跌","422","287"
"厂","421","298"
"再","421","387"
"季","419","330"
"存","418","354"
"排","418","293"
"速","416","373"
"步","416","382"
"尼","415","304"
"任","413","349"
"门","412","365"
"包","411","371"
"专","411","356"
"策","409","365"
"规","409","361"
"田","409","247"
"共","408","355"
"望","406","385"
"智","406","336"
"让","403","379"
"席","402","341"
"停","401","335"
"料","401","317"
"社","401","331"
"只","401","353"
"查","401","348"
"访","400","326"
"很","400","368"
"营","398","334"
"普","398","333"
"限","397","340"
"病","397","248"
"活","395","340"
"结","394","360"
"州","394","309"
"程","393","362"
"带","388","359"
"知","387","347"
"党","386","229"
"击","385","340"
"止","384","347"
"构","383","347"
"众","383","332"
"巨","382","360"
"决","380","335"
"感","375","315"
"非","375","335"
"韩","375","239"
"域","374","331"
"许","372","347"
"打","372","338"
"路","369","309"
"究","368","325"
"级","363","314"
"各","363","337"
"我","361","268"
"警","361","305"
"兰","358","273"
"几","357","338"
"准","355","327"
"改","352","316"
"宾","351","237"
"何","351","319"
"传","351","311"
"软","351","265"
"裁","350","251"
"坡","350","267"
"模","350","313"
"油","350","194"
"房","349","216"
"食","348","240"
"米","347","214"
"陆","346","268"
"险","346","316"
"组","345","310"
"阿","344","245"
"获","344","322"
"热","344","303"
"失","344","314"
"担","343","319"
"山","342","261"
"历","342","312"
"岛","342","262"
"积","342","261"
"仍","340","322"
"常","340","310"
"店","339","222"
"源","339","268"
"控","338","305"
"论","333","295"
"核","332","214"
"色","330","259"
"火","328","249"
"随","326","318"
"储","325","251"
"户","324","270"
"采","322","291"
"福","322","261"
"象","322","292"
"直","322","306"
"观","321","288"
"走","321","300"
"转","320","288"
"媒","320","286"
"旅","319","225"
"破","318","289"
"根","318","297"
"协","318","280"
"难","317","299"
"况","315","303"
"节","314","251"
"扩","314","288"
"整","314","280"
"办","313","277"
"单","312","257"
"治","311","264"
"证","310","274"
"测","309","251"
"参","306","261"
"谷","306","237"
"芯","305","222"
"院","305","236"
"案","303","259"
"言","303","269"
"池","303","169"
"防","300","253"
"快","298","284"
"希","297","270"
"则","297","275"
"融","297","225"
"买","297","232"
"城","297","221"
"助","295","281"
"服","295","236"
"权","295","252"
"临","295","286"
"注","294","277"
"冠","293","243"
"每","292","264"
"继","291","281"
"措","289","263"
"光","289","210"
"析","289","273"
"禁","289","234"
"港","286","194"
"往","286","234"
"初","283","260"
"竞","283","256"
"均","282","238"
"倍","282","241"
"景","281","265"
"器","280","214"
"断","279","254"
"底","279","256"
"括","279","273"
"紧","278","263"
"飞","278","191"
"线","277","232"
"确","276","265"
"除","275","254"
"沙","274","194"
"类","274","233"
"即","272","268"
"卡","271","217"
"给","270","252"
"登","268","227"
"广","268","233"
"零","267","219"
"么","266","228"
"否","265","245"
"样","263","247"
"密","262","207"
"史","261","250"
"迪","260","171"
"突","259","242"
"张","259","237"
"威","259","223"
"习","258","211"
"盟","257","189"
"监","256","221"
"见","256","246"
"润","255","177"
"把","255","238"
"益","254","232"
"记","254","232"
"频","253","216"
"六","253","240"
"农","252","186"
"算","252","206"
"香","251","182"
"贸","250","185"
"装","250","192"
"丰","249","156"
"冲","248","221"
"缓","248","230"
"百","247","218"
"泰","247","168"
"業","246","113"
"身","245","229"
"十","243","222"
"想","242","218"
"露","242","227"
"功","241","215"
"债","241","154"
"先","239","218"
"队","239","200"
"仅","238","222"
"字","238","175"
"吉","237","194"
"离","236","218"
"做","236","224"
"胀","236","191"
"具","235","223"
"师","234","221"
"早","234","219"
"纳","234","203"
"批","233","217"
"波","232","191"
"石","231","168"
"微","231","185"
"试","230","205"
"太","229","199"
"深","227","204"
"环","227","197"
"执","227","205"
"友","227","190"
"略","226","208"
"黄","226","164"
"它","225","203"
"清","225","197"
"透","225","216"
"严","225","219"
"免","224","193"
"站","223","184"
"危","223","198"
"压","223","204"
"死","222","192"
"那","222","199"
"土","222","160"
"独","221","203"
"暴","220","181"
"富","220","176"
"态","220","200"
"针","219","214"
"考","219","197"
"极","219","188"
"女","218","148"
"岸","218","183"
"短","218","186"
"退","218","189"
"较","217","204"
"维","216","199"
"苏","215","195"
"候","215","193"
"必","215","197"
"质","214","192"
"足","214","190"
"乌","210","163"
"话","209","186"
"别","209","197"
"牌","209","169"
"激","208","193"
"依","208","185"
"花","208","151"
"委","207","174"
"恢","205","179"
"央","205","170"
"容","204","183"
"条","204","183"
"谈","203","179"
"温","200","155"
"占","200","179"
"曾","199","194"
"亡","198","175"
"遭","198","188"
"园","198","146"
"老","197","156"
"终","197","186"
"白","197","159"
"声","197","174"
"酒","197","92"
"迎","197","187"
"歌","196","136"
"图","195","183"
"落","195","183"
"才","194","169"
"效","194","174"
"住","193","169"
"卫","193","159"
"街","193","180"
"例","192","164"
"省","192","168"
"评","192","167"
"忧","192","190"
"纪","192","175"
"启","191","186"
"索","190","147"
"药","190","99"
"缺","189","168"
"哈","189","150"
"形","189","176"
"医","188","131"
"為","188","140"
"尽","187","181"
"船","186","118"
"岁","186","140"
"诉","185","156"
"却","185","182"
"旗","184","171"
"付","184","142"
"且","184","183"
"端","183","164"
"录","182","163"
"移","182","152"
"吸","181","165"
"轮","180","150"
"留","180","156"
